name,Image,dataCountry,country,continent,office,mandateStart,mandateEnd,headOfStateOrGovernment
Rosario Fernández,,Peru,,South America,Prime Minister,19/03/2011,28/07/2011,*
Ana Jara,,Peru,,South America,Prime Minister,22/07/2014,02/04/2015,*
Mercedes Aráoz,,Peru,,South America,Prime Minister,17/09/2017,Incumbent,*
Lidia Gueiler Tejada,,Bolivia,,South America,Acting President,16/11/1979,17/07/1980,Head of state
Janet Jagan,,Guyana,,South America,President,19/12/1997,11/08/1999,Head of state
Isabel Martínez de Perón,,Argentina,,South America,President,01/07/1974,24/03/1976,Head of state and government
Rosalía Arteaga Serrano,,Ecuador,,South America,Acting President,09/02/1997,11/02/1997,Head of state and government
Michelle Bachelet,,Chile,,South America,President,11/03/2006,11/03/2010,Head of state and government
Cristina Fernández de Kirchner,,Argentina,,South America,President,10/12/2007,09/12/2015,Head of state and government
Dilma Rousseff,,Brazil,,South America,President,01/01/2011,31/08/2016,Head of state and government
Michelle Bachelet,,Chile,,South America,President,11/03/2014,Incumbent,Head of state and government
